question,county,document
What are the operating hours of Kaka Medical Clinic?,kakamega,a2ce25cd
What types of services are provided at Kaka Medical Clinic?,kakamega,a2ce25cd
Is Kaka Medical Clinic approved and publicly visible?,kakamega,a2ce25cd
What is the KEPH level of Kopanga Dispensary?,migori,93d22675
Who operates Kopanga Dispensary?,migori,93d22675
Is Kopanga Dispensary open on weekends?,migori,93d22675
What are the operating hours of Fairview Medical Centre during weekends?,nairobi,b527cddb
Is Fairview Medical Centre currently open and operational?,nairobi,b527cddb
How many beds and cots are available at Fairview Medical Centre?,nairobi,b527cddb
What is the bed capacity at Radiant Group of Hospitals-Umoja?,nairobi,61733be4
Is Radiant Group of Hospitals-Umoja open during weekends and public holidays?,nairobi,61733be4
Who regulates Radiant Group of Hospitals-Umoja?,nairobi,61733be4
What are the operation hours for Songot Medical Clinic?,turkana,5e4acb57
Who owns and operates Songot Medical Clinic?,turkana,5e4acb57
Is Songot Medical Clinic open on weekends or public holidays?,turkana,5e4acb57
What are the operating hours of Vital Solutions Health Centre?,narok,eec774b8
Is Vital Solutions Health Centre open on weekends?,narok,eec774b8
How many beds are available at Vital Solutions Health Centre?,narok,eec774b8
What are the operating hours of St.Ann's Catholic Dispensary Kapsorok during weekdays?,kericho,06396ef4
Does St.Ann's Catholic Dispensary Kapsorok provide inpatient services with beds and cots?,kericho,06396ef4
Is St.Ann's Catholic Dispensary Kapsorok open on weekends?,kericho,06396ef4
What are the operating hours of Ankara Medical Centre?,garissa,7614ea13
Who owns and manages Ankara Medical Centre?,garissa,7614ea13
Does Ankara Medical Centre have any inpatient facilities such as beds or cots?,garissa,7614ea13
What type of health services does George Mudenyo Kadima Nasio Trust (Mumias West) provide as a Level 2 facility?,kakamega,0336412f
Who owns and operates George Mudenyo Kadima Nasio Trust (Mumias West)?,kakamega,0336412f
"Can you tell me the location details of George Mudenyo Kadima Nasio Trust (Mumias West), including the county and ward?",kakamega,0336412f
What are the operating hours of Nazareth Medical Services-Githurai on weekdays?,nairobi,5b384b04
Is Nazareth Medical Services-Githurai open on weekends and public holidays?,nairobi,5b384b04
Who operates Nazareth Medical Services-Githurai and what is its regulatory body?,nairobi,5b384b04
What are the operating hours of Penda Medical Care-Kahawa West on weekdays?,nairobi,81dc929b
Is Penda Medical Care-Kahawa West open on public holidays?,nairobi,81dc929b
What type of services does Penda Medical Care-Kahawa West offer?,nairobi,81dc929b
What are the operating hours of The Mater Hospital-Satelite Clinic(TRM) on weekdays?,nairobi,64e7f589
Does The Mater Hospital-Satelite Clinic(TRM) provide inpatient services?,nairobi,64e7f589
Who manages The Mater Hospital-Satelite Clinic(TRM)?,nairobi,64e7f589
What types of healthcare services are provided at Namunyak Medical Centre?,kajiado,c37c1e60
Is Namunyak Medical Centre open during weekends and public holidays?,kajiado,c37c1e60
Who owns and operates Namunyak Medical Centre in Kajiado?,kajiado,c37c1e60
What are the operating hours of The Mazira Memorial Hospital?,kajiado,19b01e21
What types of services are offered at The Mazira Memorial Hospital?,kajiado,19b01e21
Is The Mazira Memorial Hospital a public or private facility?,kajiado,19b01e21
What are the operating hours of Premiercare Diagnostics Narok Limited?,narok,8ea4102f
Is Premiercare Diagnostics Narok Limited open on public holidays or weekends?,narok,8ea4102f
What types of radiology services are offered at Premiercare Diagnostics Narok Limited?,narok,8ea4102f
What are the opening hours of Itoleka Smartext Medical Services on weekdays?,kitui,bb9fd06e
Is the facility open on weekends and public holidays?,kitui,bb9fd06e
What services are provided by Itoleka Smartext Medical Services?,kitui,bb9fd06e
What are the operating hours of Africare Limited Embakasi Clinic on weekdays?,nairobi,5119cfa4
Is Africare Limited Embakasi Clinic open on public holidays?,nairobi,5119cfa4
How many beds and cots are available at Africare Limited Embakasi Clinic?,nairobi,5119cfa4
What are the operating hours for Avenue Healthcare Greenspan?,nairobi,107a6ea8
What types of services does Avenue Healthcare Greenspan offer?,nairobi,107a6ea8
Is Avenue Healthcare Greenspan open on public holidays and weekends?,nairobi,107a6ea8
What are the operating hours of Yalatani Dispensary?,kitui,2ffd5923
Does Yalatani Dispensary provide services on weekends or public holidays?,kitui,2ffd5923
What types of services does Yalatani Dispensary offer?,kitui,2ffd5923
What are the operating hours of Musuani Mdc?,kitui,837dd4b4
What type of medical services does Musuani Mdc provide?,kitui,837dd4b4
Is Musuani Mdc open on weekends or public holidays?,kitui,837dd4b4
What type of medical services are offered at Musuani Medical Centre?,kitui,82d8340f
What are the operating hours of Musuani Medical Centre?,kitui,82d8340f
Who owns Musuani Medical Centre and what is their practice specialization?,kitui,82d8340f
What are the operating hours of Muthangira Dispensary?,nyeri,5a7001cd
Does Muthangira Dispensary offer services on weekends or public holidays?,nyeri,5a7001cd
Who manages the Muthangira Dispensary?,nyeri,5a7001cd
What services does ST.TRESA'S OLK MEDICAL CLINIC provide?,nyandarua,a6b1b102
What are the operating hours for ST.TRESA'S OLK MEDICAL CLINIC?,nyandarua,a6b1b102
Is ST.TRESA'S OLK MEDICAL CLINIC open on weekends and public holidays?,nyandarua,a6b1b102
What are the operating hours for Kericho Medical Clinic on weekdays?,kericho,af918113
Does Kericho Medical Clinic offer any specific medical services?,kericho,af918113
Can I visit Kericho Medical Clinic during weekends?,kericho,af918113
What are the opening hours during weekdays at Orion Healthcare Medical Centre?,busia,188d4302
Is Orion Healthcare Medical Centre open on weekends?,busia,188d4302
Who owns and manages Orion Healthcare Medical Centre?,busia,188d4302
What are the operating hours of the Community Health Service?,murang'a,0891abcd
Is the Community Health Service open on weekends and public holidays?,murang'a,0891abcd
What type of ownership does the Community Health Service have?,murang'a,0891abcd
What are the operating hours of Kilele Medical Specialist Centre on weekends?,nairobi,1d348da7
Is Kilele Medical Specialist Centre open on public holidays?,nairobi,1d348da7
Who is the owner of Kilele Medical Specialist Centre?,nairobi,1d348da7
What types of services are offered at Sanctuary Rains Medical Centre?,nairobi,7d2035a3
What are the opening hours and days of Sanctuary Rains Medical Centre?,nairobi,7d2035a3
How many beds and cots are available at Sanctuary Rains Medical Centre?,nairobi,7d2035a3
What are the operating hours and days for Highway Medical Clinic Mukuyuni?,bungoma,5f4db962
Who owns and operates Highway Medical Clinic Mukuyuni?,bungoma,5f4db962
Which governing body regulates Highway Medical Clinic Mukuyuni?,bungoma,5f4db962
What specific services are offered at ScanHealth Limited-Kericho?,kericho,b726415b
What are the operating hours or days when ScanHealth Limited-Kericho is open?,kericho,b726415b
Who is the owner or managing entity of ScanHealth Limited-Kericho?,kericho,b726415b
What are the opening hours of Aimo Dispensary?,homa bay,ff9da726
Who manages and regulates Aimo Dispensary?,homa bay,ff9da726
Is Aimo Dispensary currently operational?,homa bay,ff9da726
What are the operating hours of Saika Community Medical Centre on weekdays?,nairobi,c7405404
Is Saika Community Medical Centre open on weekends?,nairobi,c7405404
What type of services are provided at Saika Community Medical Centre?,nairobi,c7405404
What are the operating hours of Selina's Health Care?,nairobi,3030f218
What types of services does Selina's Health Care offer?,nairobi,3030f218
How many beds are available at Selina's Health Care?,nairobi,3030f218
What are the operating hours for Naagis Dispensary?,turkana,f23c427a
Is Naagis Dispensary open on weekends and public holidays?,turkana,f23c427a
What types of services are offered at Naagis Dispensary?,turkana,f23c427a
What types of services are available at Oasis Doctors Plaza Nairobi Green House given that it is an outpatient clinic?,nairobi,951d4c93
Is Oasis Doctors Plaza Nairobi Green House open during weekends or public holidays?,nairobi,951d4c93
What is the ownership and operational status of the Oasis Doctors Plaza Nairobi Green House?,nairobi,951d4c93
What are the operating hours of Karen Roses Medical Clinic?,nairobi,2f8723bf
Is Karen Roses Medical Clinic open during weekends or public holidays?,nairobi,2f8723bf
Who owns and operates Karen Roses Medical Clinic?,nairobi,2f8723bf
What are the operating hours of South C Hospital Limited?,nairobi,4a000d09
How many beds are available at South C Hospital Limited?,nairobi,4a000d09
Is South C Hospital Limited open on public holidays?,nairobi,4a000d09
What are the operational hours of Our Mother of Perpetual Help Bamba Catholic Dispensary?,kilifi,d115106f
Is the dispensary open to the public?,kilifi,d115106f
What type of ownership does the dispensary have?,kilifi,d115106f
What are the operating hours of the Nasianda health facility?,trans nzoia,c7eea054
What types of services are offered at Nasianda health facility?,trans nzoia,c7eea054
Is the Nasianda health facility equipped with any beds or cots for patient care?,trans nzoia,c7eea054
What is the bed capacity of Gynocare Womens & Fistula Hospital?,uasin gishu,54dc6142
Is Gynocare Womens & Fistula Hospital operational on weekends and public holidays?,uasin gishu,54dc6142
What type of facility is Gynocare Womens & Fistula Hospital according to its KEPH level?,uasin gishu,54dc6142
What are the operating hours of the Quality Care Medical Clinic?,uasin gishu,16865aa1
How many beds are available at the Quality Care Medical Clinic?,uasin gishu,16865aa1
Is the Quality Care Medical Clinic open on weekends and public holidays?,uasin gishu,16865aa1
What are the operating hours for Katsakakairu Disp?,lamu,c8989200
Is Katsakakairu Disp open on public holidays?,lamu,c8989200
How many beds are available at Katsakakairu Disp?,lamu,c8989200
What are the operating hours of Uziwa Dispensary?,lamu,8fff594c
Does Uziwa Dispensary offer services on weekends or public holidays?,lamu,8fff594c
What is the level and type of services provided at Uziwa Dispensary?,lamu,8fff594c
