id,question
2,What type of healthcare services are offered at Fairview Medical Centre?
2,Is Fairview Medical Centre open on public holidays?
2,How many beds does Fairview Medical Centre have for patients?
2,Who regulates the operations of Fairview Medical Centre?
2,Is Fairview Medical Centre located in Kayole South ward?
3,What is the name of this healthcare facility?
3,How many beds does the facility have available?
3,Is the hospital operational on weekends and public holidays?
3,Which county and ward is the facility located in?
3,Who owns and regulates this healthcare facility?
5,What type of healthcare services does Vital Solutions Health Centre provide?
5,Is Vital Solutions Health Centre open on public holidays?
5,How many beds are available at Vital Solutions Health Centre?
5,Who owns Vital Solutions Health Centre?
5,What is the regulatory body overseeing Vital Solutions Health Centre?
7,What is the keph level of Ankara Medical Centre?
7,Does Ankara Medical Centre operate on public holidays?
7,How many beds are available at Ankara Medical Centre?
7,Who regulates Ankara Medical Centre?
7,Is Ankara Medical Centre open late at night?
9,What services does Nazareth Medical Services-Githurai provide for outpatients?
9,Is Nazareth Medical Services-Githurai open on public holidays?
9,Does Nazareth Medical Services-Githurai operate late at night?
9,"Who owns Nazareth Medical Services-Githurai, and is it a private or public facility?"
9,Are there any beds or cots available at Nazareth Medical Services-Githurai?
10,What level of healthcare services does Penda Medical Care-Kahawa West provide?
10,Is Penda Medical Care-Kahawa West open on public holidays?
10,Does Penda Medical Care-Kahawa West operate late at night?
10,How many beds and cots are available at Penda Medical Care-Kahawa West?
10,Who owns and regulates Penda Medical Care-Kahawa West?
15,What level of healthcare facility is Itoleka Smartext Medical Services?
15,Does this facility operate on public holidays?
15,Who owns Itoleka Smartext Medical Services?
15,Is the facility open for services late at night?
15,In which ward is this medical facility located?
16,What type of healthcare facility is Africare Limited Embakasi Clinic?
16,Is Africare Limited Embakasi Clinic open on public holidays?
16,How many beds and cots are available at Africare Limited Embakasi Clinic?
16,Which regulatory body oversees Africare Limited Embakasi Clinic?
16,Is Africare Limited Embakasi Clinic located in the Imara Daima ward?
17,What is the facility's full name and ownership type?
17,How many beds and cots are available at the facility?
17,Is the facility open on public holidays and weekends?
17,Which ward and constituency is the facility located in?
17,Is the facility operational and approved for public use?
19,What services are provided at Musuani Mdc given it is an outpatient-only facility?
19,Is Musuani Mdc open during public holidays for healthcare services?
19,"Who oversees the regulation of Musuani Mdc, and under what practice category does it operate?"
19,How many beds or cots are available for patients at Musuani Mdc?
19,What are the operating hours of Musuani Mdc since it is not open all day?
23,What level of healthcare services does Kericho Medical Clinic provide?
23,Is Kericho Medical Clinic open on weekends for outpatient services?
23,"Who owns Kericho Medical Clinic, and under which regulatory body does it operate?"
23,Does Kericho Medical Clinic have facilities like beds or cots for patients?
23,Is Kericho Medical Clinic operational and approved for public access?
24,What type of healthcare facility is Orion Healthcare Medical Centre?
24,Is Orion Healthcare Medical Centre open on public holidays?
24,How many beds and cots are available at Orion Healthcare Medical Centre?
24,Which county and ward is Orion Healthcare Medical Centre located in?
24,Is Orion Healthcare Medical Centre privately owned or publicly owned?
25,What level of facility is COMMUNITY HEALTH SERVICE classified as?
25,Does COMMUNITY HEALTH SERVICE operate on public holidays?
25,Who is the owner of COMMUNITY HEALTH SERVICE?
25,Is COMMUNITY HEALTH SERVICE open for late-night services?
25,Which ward is COMMUNITY HEALTH SERVICE located in?
26,What is the name of this healthcare facility?
26,Is this facility open on public holidays?
26,Which ward is this facility located in?
26,What type of services does this facility offer?
26,Who regulates this healthcare facility?
28,What is the level classification of Highway Medical Clinic Mukuyuni?
28,Does this facility operate on weekends?
28,Who owns Highway Medical Clinic Mukuyuni?
28,Is the clinic open on public holidays?
